riwaya_a,riwaya_b,shared_words,same_spelling,same_reading,same_pointed,same_rasm
hafs,shuba,77433,76794,76794,77324,77425
hafs,warsh,77431,32000,58221,77212,77195
hafs,qaloun,77431,31306,59274,77243,77190
hafs,douri,77432,54821,57352,77226,77409
hafs,sousi,77432,55783,56394,77203,77408
hafs,bazzi,77432,65041,65080,77220,77410
shuba,warsh,77431,32033,58235,77224,77195
shuba,qaloun,77431,31344,59324,77255,77190
shuba,douri,77432,54871,57398,77242,77413
shuba,sousi,77432,55847,56453,77219,77412
shuba,bazzi,77432,65113,65151,77240,77412
warsh,qaloun,77431,65999,67757,77392,77426
warsh,douri,77431,29307,59073,77213,77194
warsh,sousi,77431,30384,60195,77232,77193
warsh,bazzi,77431,28809,49126,77218,77195
qaloun,douri,77431,28505,60807,77240,77189
qaloun,sousi,77431,32990,65371,77217,77188
qaloun,bazzi,77431,32158,54790,77245,77190
douri,sousi,77432,51656,64088,77409,77431
douri,bazzi,77432,44771,47269,77304,77409
sousi,bazzi,77432,51599,52174,77281,77408
